nohup: ignoring input

Processing hit_analyzer.C...
Loaded 92 dead channels
[Data] Processed 360 samples
[MC] Processed 2120 samples
[MC] Processed 2130 samples
[MC] Processed 2140 samples
[MC] Processed 2150 samples
[MC] Processed 2160 samples
[MC] Processed 2170 samples
[MC] Processed 2180 samples
[Data] Processed 370 samples
[MC] Processed 2190 samples
[MC] Processed 2200 samples
[MC] Processed 2210 samples
[MC] Processed 2220 samples
[MC] Processed 2230 samples
[Data] Processed 380 samples
[MC] Processed 2240 samples
[MC] Processed 2250 samples
[MC] Processed 2260 samples
[MC] Processed 2270 samples
[MC] Processed 2280 samples
[Data] Processed 390 samples
[MC] Processed 2290 samples
[MC] Processed 2300 samples
[MC] Processed 2310 samples
[MC] Processed 2320 samples
[MC] Processed 2330 samples
[Data] Processed 400 samples
[MC] Processed 2340 samples
[MC] Processed 2350 samples
[MC] Processed 2360 samples
[MC] Processed 2370 samples
[MC] Processed 2380 samples
[Data] Processed 410 samples
[MC] Processed 2390 samples
[MC] Processed 2400 samples
[MC] Processed 2410 samples
[MC] Processed 2420 samples
[MC] Processed 2430 samples
[Data] Processed 420 samples
[MC] Processed 2440 samples
[MC] Processed 2450 samples
[MC] Processed 2460 samples
[MC] Processed 2470 samples
[MC] Processed 2480 samples
[MC] Processed 2490 samples
[Data] Processed 430 samples
[MC] Processed 2500 samples
[MC] Processed 2510 samples
[MC] Processed 2520 samples
[MC] Processed 2530 samples
[MC] Processed 2540 samples
[MC] Processed 2550 samples
[Data] Processed 440 samples
[MC] Processed 2560 samples
[MC] Processed 2570 samples
[MC] Processed 2580 samples
[MC] Processed 2590 samples
[MC] Processed 2600 samples
[MC] Processed 2610 samples
[Data] Processed 450 samples
[MC] Processed 2620 samples
[MC] Processed 2630 samples
[MC] Processed 2640 samples
[MC] Processed 2650 samples
[Data] Processed 460 samples
[MC] Processed 2660 samples
[MC] Processed 2670 samples
[MC] Processed 2680 samples
[MC] Processed 2690 samples
[Data] Processed 470 samples
[MC] Processed 2700 samples
[MC] Processed 2710 samples
[MC] Processed 2720 samples
[MC] Processed 2730 samples
[Data] Processed 480 samples
[MC] Processed 2740 samples
[MC] Processed 2750 samples
[MC] Processed 2760 samples
[MC] Processed 2770 samples
[MC] Processed 2780 samples
[Data] Processed 490 samples
[MC] Processed 2790 samples
[MC] Processed 2800 samples
[MC] Processed 2810 samples
[MC] Processed 2820 samples
[MC] Processed 2830 samples
[Data] Processed 500 samples
[MC] Processed 2840 samples
[MC] Processed 2850 samples
[MC] Processed 2860 samples
[MC] Processed 2870 samples
[Data] Processed 510 samples
[MC] Processed 2880 samples
[MC] Processed 2890 samples
[MC] Processed 2900 samples
[MC] Processed 2910 samples
[MC] Processed 2920 samples
[MC] Processed 2930 samples
[MC] Processed 2940 samples
[Data] Processed 520 samples
[MC] Processed 2950 samples
[MC] Processed 2960 samples
[MC] Processed 2970 samples
[MC] Processed 2980 samples
[MC] Processed 2990 samples
[Data] Processed 530 samples
[MC] Processed 3000 samples
[MC] Processed 3010 samples
[MC] Processed 3020 samples
[MC] Processed 3030 samples
[Data] Processed 540 samples
[MC] Processed 3040 samples
[MC] Processed 3050 samples
[MC] Processed 3060 samples
[MC] Processed 3070 samples
[MC] Processed 3080 samples
[MC] Processed 3090 samples
[MC] Processed 3100 samples
[MC] Processed 3110 samples
[Data] Processed 550 samples
[MC] Processed 3120 samples
[MC] Processed 3130 samples
[MC] Processed 3140 samples
[MC] Processed 3150 samples
[Data] Processed 560 samples
[MC] Processed 3160 samples
[MC] Processed 3170 samples
[MC] Processed 3180 samples
[MC] Processed 3190 samples
[Data] Processed 570 samples
[MC] Processed 3200 samples
[MC] Processed 3210 samples
[MC] Processed 3220 samples
[MC] Processed 3230 samples
[MC] Processed 3240 samples
[MC] Processed 3250 samples
[Data] Processed 580 samples
[MC] Processed 3260 samples
[MC] Processed 3270 samples
[MC] Processed 3280 samples
[MC] Processed 3290 samples
[Data] Processed 590 samples
[MC] Processed 3300 samples
[MC] Processed 3310 samples
[MC] Processed 3320 samples
[Data] Processed 600 samples
[MC] Processed 3330 samples
[MC] Processed 3340 samples
[MC] Processed 3350 samples
[MC] Processed 3360 samples
[MC] Processed 3370 samples
[MC] Processed 3380 samples
[Data] Processed 610 samples
[MC] Processed 3390 samples
[MC] Processed 3400 samples
[MC] Processed 3410 samples
[MC] Processed 3420 samples
[MC] Processed 3430 samples
[MC] Processed 3440 samples
[MC] Processed 3450 samples
[Data] Processed 620 samples
[MC] Processed 3460 samples
[MC] Processed 3470 samples
[MC] Processed 3480 samples
[MC] Processed 3490 samples
[MC] Processed 3500 samples
[Data] Processed 630 samples
[MC] Processed 3510 samples
[MC] Processed 3520 samples
[MC] Processed 3530 samples
[MC] Processed 3540 samples
[Data] Processed 640 samples
[MC] Processed 3550 samples
[MC] Processed 3560 samples
[MC] Processed 3570 samples
[MC] Processed 3580 samples
[MC] Processed 3590 samples
[MC] Processed 3600 samples
[Data] Processed 650 samples
[MC] Processed 3610 samples
[MC] Processed 3620 samples
[MC] Processed 3630 samples
[MC] Processed 3640 samples
[MC] Processed 3650 samples
[Data] Processed 660 samples
[MC] Processed 3660 samples
[MC] Processed 3670 samples
[MC] Processed 3680 samples
[MC] Processed 3690 samples
[MC] Processed 3700 samples
[Data] Processed 670 samples
[MC] Processed 3710 samples
[MC] Processed 3720 samples
[MC] Processed 3730 samples
[MC] Processed 3740 samples
[MC] Processed 3750 samples
[Data] Processed 680 samples
[MC] Processed 3760 samples
[MC] Processed 3770 samples
[MC] Processed 3780 samples
[MC] Processed 3790 samples
[MC] Processed 3800 samples
[Data] Processed 690 samples
[MC] Processed 3810 samples
[MC] Processed 3820 samples
[MC] Processed 3830 samples
[MC] Processed 3840 samples
[MC] Processed 3850 samples
[Data] Processed 700 samples
[MC] Processed 3860 samples
[MC] Processed 3870 samples
[MC] Processed 3880 samples
[MC] Processed 3890 samples
[MC] Processed 3900 samples
[MC] Processed 3910 samples
[MC] Processed 3920 samples
[Data] Processed 710 samples
[MC] Processed 3930 samples
[MC] Processed 3940 samples
[MC] Processed 3950 samples
[MC] Processed 3960 samples
[MC] Processed 3970 samples
[Data] Processed 720 samples
[MC] Processed 3980 samples
[MC] Processed 3990 samples
[MC] Processed 4000 samples
[MC] Processed 4010 samples
[MC] Processed 4020 samples
[MC] Processed 4030 samples
[MC] Processed 4040 samples
[MC] Processed 4050 samples
[Data] Processed 730 samples
[MC] Processed 4060 samples
[MC] Processed 4070 samples
[MC] Processed 4080 samples
[MC] Processed 4090 samples
[MC] Processed 4100 samples
[Data] Processed 740 samples
[MC] Processed 4110 samples
[MC] Processed 4120 samples
[MC] Processed 4130 samples
[MC] Processed 4140 samples
[MC] Processed 4150 samples
[Data] Processed 750 samples
[MC] Processed 4160 samples
[MC] Processed 4170 samples
[MC] Processed 4180 samples
[MC] Processed 4190 samples
[MC] Processed 4200 samples
[Data] Processed 760 samples
[MC] Processed 4210 samples
[MC] Processed 4220 samples
[MC] Processed 4230 samples
[MC] Processed 4240 samples
[MC] Processed 4250 samples
[Data] Processed 770 samples
[MC] Processed 4260 samples
[MC] Processed 4270 samples
[MC] Processed 4280 samples
[MC] Processed 4290 samples
[Data] Processed 780 samples
[MC] Processed 4300 samples
[MC] Processed 4310 samples
[MC] Processed 4320 samples
[MC] Processed 4330 samples
[MC] Processed 4340 samples
[MC] Processed 4350 samples
[MC] Processed 4360 samples
[Data] Processed 790 samples
[MC] Processed 4370 samples
[MC] Processed 4380 samples
[MC] Processed 4390 samples
[MC] Processed 4400 samples
[MC] Processed 4410 samples
[MC] Processed 4420 samples
[Data] Processed 800 samples
[MC] Processed 4430 samples
[MC] Processed 4440 samples
[MC] Processed 4450 samples
[MC] Processed 4460 samples
[Data] Processed 810 samples
[MC] Processed 4470 samples
[MC] Processed 4480 samples
[MC] Processed 4490 samples
[MC] Processed 4500 samples
[MC] Processed 4510 samples
[Data] Processed 820 samples
[MC] Processed 4520 samples
[MC] Processed 4530 samples
[MC] Processed 4540 samples
[MC] Processed 4550 samples
[MC] Processed 4560 samples
[Data] Processed 830 samples
[MC] Processed 4570 samples
[MC] Processed 4580 samples
[MC] Processed 4590 samples
[MC] Processed 4600 samples
[MC] Processed 4610 samples
[MC] Processed 4620 samples
[Data] Processed 840 samples
[MC] Processed 4630 samples
[MC] Processed 4640 samples
[MC] Processed 4650 samples
[MC] Processed 4660 samples
[MC] Processed 4670 samples
[MC] Processed 4680 samples
[Data] Processed 850 samples
[MC] Processed 4690 samples
[MC] Processed 4700 samples
[MC] Processed 4710 samples
[MC] Processed 4720 samples
[MC] Processed 4730 samples
[MC] Processed 4740 samples
[Data] Processed 860 samples
[MC] Processed 4750 samples
[MC] Processed 4760 samples
[MC] Processed 4770 samples
[MC] Processed 4780 samples
[MC] Processed 4790 samples
[MC] Processed 4800 samples
[Data] Processed 870 samples
[MC] Processed 4810 samples
[MC] Processed 4820 samples
[MC] Processed 4830 samples
[MC] Processed 4840 samples
[MC] Processed 4850 samples
[MC] Processed 4860 samples
[Data] Processed 880 samples
[MC] Processed 4870 samples
[MC] Processed 4880 samples
[Data] Processed 890 samples
[MC] Processed 4890 samples
[MC] Processed 4900 samples
[MC] Processed 4910 samples
[MC] Processed 4920 samples
[MC] Processed 4930 samples
[MC] Processed 4940 samples
[Data] Processed 900 samples
[MC] Processed 4950 samples
[MC] Processed 4960 samples
[MC] Processed 4970 samples
[MC] Processed 4980 samples
[Data] Processed 910 samples
[MC] Processed 4990 samples
[MC] Processed 5000 samples
[MC] Processed 5010 samples
[MC] Processed 5020 samples
[MC] Processed 5030 samples
[Data] Processed 920 samples
[MC] Processed 5040 samples
[MC] Processed 5050 samples
[MC] Processed 5060 samples
[MC] Processed 5070 samples
[MC] Processed 5080 samples
[MC] Processed 5090 samples
[MC] Processed 5100 samples
[Data] Processed 930 samples
[MC] Processed 5110 samples
[MC] Processed 5120 samples
[MC] Processed 5130 samples
[MC] Processed 5140 samples
[MC] Processed 5150 samples
[MC] Processed 5160 samples
[Data] Processed 940 samples
[MC] Processed 5170 samples
[MC] Processed 5180 samples
[MC] Processed 5190 samples
[MC] Processed 5200 samples
[MC] Processed 5210 samples
[Data] Processed 950 samples
[MC] Processed 5220 samples
[MC] Processed 5230 samples
[MC] Processed 5240 samples
[MC] Processed 5250 samples
[MC] Processed 5260 samples
[Data] Processed 960 samples
[MC] Processed 5270 samples
[MC] Processed 5280 samples
[MC] Processed 5290 samples
[MC] Processed 5300 samples
[MC] Processed 5310 samples
[MC] Processed 5320 samples
[MC] Processed 5330 samples
[Data] Processed 970 samples
[MC] Processed 5340 samples
[MC] Processed 5350 samples
[MC] Processed 5360 samples
[MC] Processed 5370 samples
[MC] Processed 5380 samples
[MC] Processed 5390 samples
[MC] Processed 5400 samples
[Data] Processed 980 samples
[MC] Processed 5410 samples
[MC] Processed 5420 samples
[MC] Processed 5430 samples
[MC] Processed 5440 samples
[MC] Processed 5450 samples
[Data] Processed 990 samples
[MC] Processed 5460 samples
[MC] Processed 5470 samples
[MC] Processed 5480 samples
[MC] Processed 5490 samples
[Data] Processed 1000 samples
[MC] Processed 5500 samples
[MC] Processed 5510 samples
[MC] Processed 5520 samples
[MC] Processed 5530 samples
[Data] Processed 1010 samples
[MC] Processed 5540 samples
[MC] Processed 5550 samples
[MC] Processed 5560 samples
[MC] Processed 5570 samples
[MC] Processed 5580 samples
[Data] Processed 1020 samples
[MC] Processed 5590 samples
[MC] Processed 5600 samples
[MC] Processed 5610 samples
[MC] Processed 5620 samples
[MC] Processed 5630 samples
[Data] Processed 1030 samples
[MC] Processed 5640 samples
[MC] Processed 5650 samples
[MC] Processed 5660 samples
[MC] Processed 5670 samples
[Data] Processed 1040 samples
[MC] Processed 5680 samples
[MC] Processed 5690 samples
[MC] Processed 5700 samples
[MC] Processed 5710 samples
[Data] Processed 1050 samples
[MC] Processed 5720 samples
[MC] Processed 5730 samples
[MC] Processed 5740 samples
[MC] Processed 5750 samples
[MC] Processed 5760 samples
[Data] Processed 1060 samples
[MC] Processed 5770 samples
[MC] Processed 5780 samples
[MC] Processed 5790 samples
[MC] Processed 5800 samples
[MC] Processed 5810 samples
[MC] Processed 5820 samples
[MC] Processed 5830 samples
[Data] Processed 1070 samples
[MC] Processed 5840 samples
[MC] Processed 5850 samples
[MC] Processed 5860 samples
[MC] Processed 5870 samples
[MC] Processed 5880 samples
[Data] Processed 1080 samples
[MC] Processed 5890 samples
[MC] Processed 5900 samples
[MC] Processed 5910 samples
[MC] Processed 5920 samples
[Data] Processed 1090 samples
[MC] Processed 5930 samples
[MC] Processed 5940 samples
[MC] Processed 5950 samples
[MC] Processed 5960 samples
[Data] Processed 1100 samples
[MC] Processed 5970 samples
[MC] Processed 5980 samples
[MC] Processed 5990 samples
[MC] Processed 6000 samples
[MC] Processed 6010 samples
[Data] Processed 1110 samples
[MC] Processed 6020 samples
[MC] Processed 6030 samples
[MC] Processed 6040 samples
[MC] Processed 6050 samples
[MC] Processed 6060 samples
[Data] Processed 1120 samples
[MC] Processed 6070 samples
[MC] Processed 6080 samples
[MC] Processed 6090 samples
[MC] Processed 6100 samples
[MC] Processed 6110 samples
[Data] Processed 1130 samples
[MC] Processed 6120 samples
[MC] Processed 6130 samples
[MC] Processed 6140 samples
[MC] Processed 6150 samples
[MC] Processed 6160 samples
[Data] Processed 1140 samples
[MC] Processed 6170 samples
[MC] Processed 6180 samples
[MC] Processed 6190 samples
[MC] Processed 6200 samples
[MC] Processed 6210 samples
[MC] Processed 6220 samples
[Data] Processed 1150 samples
[MC] Processed 6230 samples
[MC] Processed 6240 samples
[MC] Processed 6250 samples
[MC] Processed 6260 samples
[MC] Processed 6270 samples
[Data] Processed 1160 samples
[MC] Processed 6280 samples
[MC] Processed 6290 samples
[MC] Processed 6300 samples
[MC] Processed 6310 samples
[MC] Processed 6320 samples
[Data] Processed 1170 samples
[MC] Processed 6330 samples
[MC] Processed 6340 samples
[MC] Processed 6350 samples
[MC] Processed 6360 samples
[MC] Processed 6370 samples
[MC] Processed 6380 samples
[MC] Processed 6390 samples
[Data] Processed 1180 samples
[MC] Processed 6400 samples
[MC] Processed 6410 samples
[MC] Processed 6420 samples
[MC] Processed 6430 samples
[MC] Processed 6440 samples
[MC] Processed 6450 samples
[MC] Processed 6460 samples
[Data] Processed 1190 samples
[MC] Processed 6470 samples
[MC] Processed 6480 samples
[MC] Processed 6490 samples
[MC] Processed 6500 samples
[MC] Processed 6510 samples
[Data] Processed 1200 samples
[MC] Processed 6520 samples
[MC] Processed 6530 samples
[MC] Processed 6540 samples
[MC] Processed 6550 samples
[MC] Processed 6560 samples
[MC] Processed 6570 samples
[Data] Processed 1210 samples
[MC] Processed 6580 samples
[MC] Processed 6590 samples
[MC] Processed 6600 samples
[MC] Processed 6610 samples
[MC] Processed 6620 samples
[Data] Processed 1220 samples
[MC] Processed 6630 samples
[MC] Processed 6640 samples
[MC] Processed 6650 samples
[MC] Processed 6660 samples
[MC] Processed 6670 samples
[Data] Processed 1230 samples
[MC] Processed 6680 samples
[MC] Processed 6690 samples
[MC] Processed 6700 samples
[MC] Processed 6710 samples
[MC] Processed 6720 samples
[Data] Processed 1240 samples
[MC] Processed 6730 samples
[MC] Processed 6740 samples
[MC] Processed 6750 samples
[MC] Processed 6760 samples
[Data] Processed 1250 samples
[MC] Processed 6770 samples
[MC] Processed 6780 samples
[MC] Processed 6790 samples
[MC] Processed 6800 samples
[MC] Processed 6810 samples
[MC] Processed 6820 samples
[Data] Processed 1260 samples
[MC] Processed 6830 samples
[MC] Processed 6840 samples
[MC] Processed 6850 samples
[MC] Processed 6860 samples
[MC] Processed 6870 samples
[MC] Processed 6880 samples
[MC] Processed 6890 samples
[Data] Processed 1270 samples
[MC] Processed 6900 samples
[MC] Processed 6910 samples
[MC] Processed 6920 samples
[MC] Processed 6930 samples
[MC] Processed 6940 samples
[Data] Processed 1280 samples
[MC] Processed 6950 samples
[MC] Processed 6960 samples
[MC] Processed 6970 samples
[MC] Processed 6980 samples
[MC] Processed 6990 samples
[MC] Processed 7000 samples
[Data] Processed 1290 samples
[MC] Processed 7010 samples
[MC] Processed 7020 samples
[MC] Processed 7030 samples
[MC] Processed 7040 samples
[Data] Processed 1300 samples
[MC] Processed 7050 samples
[MC] Processed 7060 samples
[MC] Processed 7070 samples
[MC] Processed 7080 samples
[MC] Processed 7090 samples
[MC] Processed 7100 samples
[Data] Processed 1310 samples
[MC] Processed 7110 samples
[MC] Processed 7120 samples
[MC] Processed 7130 samples
[MC] Processed 7140 samples
[MC] Processed 7150 samples
[Data] Processed 1320 samples
[MC] Processed 7160 samples
[MC] Processed 7170 samples
[MC] Processed 7180 samples
[MC] Processed 7190 samples
[MC] Processed 7200 samples
[MC] Processed 7210 samples
[Data] Processed 1330 samples
[MC] Processed 7220 samples
[MC] Processed 7230 samples
[MC] Processed 7240 samples
[MC] Processed 7250 samples
[MC] Processed 7260 samples
[Data] Processed 1340 samples
[MC] Processed 7270 samples
[MC] Processed 7280 samples
[MC] Processed 7290 samples
[MC] Processed 7300 samples
[MC] Processed 7310 samples
[Data] Processed 1350 samples
[MC] Processed 7320 samples
[MC] Processed 7330 samples
[MC] Processed 7340 samples
[MC] Processed 7350 samples
[MC] Processed 7360 samples
[MC] Processed 7370 samples
[MC] Processed 7380 samples
[Data] Processed 1360 samples
[MC] Processed 7390 samples
[MC] Processed 7400 samples
[MC] Processed 7410 samples
[MC] Processed 7420 samples
[Data] Processed 1370 samples
[MC] Processed 7430 samples
[MC] Processed 7440 samples
[MC] Processed 7450 samples
[MC] Processed 7460 samples
[MC] Processed 7470 samples
[MC] Processed 7480 samples
[Data] Processed 1380 samples
[MC] Processed 7490 samples
[MC] Processed 7500 samples
[MC] Processed 7510 samples
[MC] Processed 7520 samples
[Data] Processed 1390 samples
[MC] Processed 7530 samples
[MC] Processed 7540 samples
[MC] Processed 7550 samples
[MC] Processed 7560 samples
[MC] Processed 7570 samples
[MC] Processed 7580 samples
[Data] Processed 1400 samples
[MC] Processed 7590 samples
[MC] Processed 7600 samples
[MC] Processed 7610 samples
[MC] Processed 7620 samples
[MC] Processed 7630 samples
[Data] Processed 1410 samples
[MC] Processed 7640 samples
[MC] Processed 7650 samples
[MC] Processed 7660 samples
[MC] Processed 7670 samples
[Data] Processed 1420 samples
[MC] Processed 7680 samples
[MC] Processed 7690 samples
[MC] Processed 7700 samples
[MC] Processed 7710 samples
[MC] Processed 7720 samples
[Data] Processed 1430 samples
[MC] Processed 7730 samples
[MC] Processed 7740 samples
[MC] Processed 7750 samples
[MC] Processed 7760 samples
[MC] Processed 7770 samples
[MC] Processed 7780 samples
[MC] Processed 7790 samples
[MC] Processed 7800 samples
[Data] Processed 1440 samples
[MC] Processed 7810 samples
[MC] Processed 7820 samples
[MC] Processed 7830 samples
[MC] Processed 7840 samples
[MC] Processed 7850 samples
[MC] Processed 7860 samples
[MC] Processed 7870 samples
[MC] Processed 7880 samples
[MC] Processed 7890 samples
[MC] Processed 7900 samples
[MC] Processed 7910 samples
[Data] Processed 1450 samples
[MC] Processed 7920 samples
[MC] Processed 7930 samples
[MC] Processed 7940 samples
[MC] Processed 7950 samples

=== Processing Statistics for Data ===
Total samples processed: 1457
Total events recorded: 641971
Average pitch: min = 0.300039, max = 5619.36
Wires per track: min = 25, max = 1957
Valid hits per track: min = 25, max = 1957
Average efficiency: 0.988814
[MC] Processed 7960 samples
[MC] Processed 7970 samples
[MC] Processed 7980 samples
[MC] Processed 7990 samples
[MC] Processed 8000 samples
[MC] Processed 8010 samples
[MC] Processed 8020 samples
[MC] Processed 8030 samples
[MC] Processed 8040 samples
[MC] Processed 8050 samples
[MC] Processed 8060 samples
[MC] Processed 8070 samples
[MC] Processed 8080 samples
[MC] Processed 8090 samples
[MC] Processed 8100 samples
[MC] Processed 8110 samples
[MC] Processed 8120 samples
[MC] Processed 8130 samples
[MC] Processed 8140 samples
[MC] Processed 8150 samples
[MC] Processed 8160 samples
[MC] Processed 8170 samples
[MC] Processed 8180 samples
[MC] Processed 8190 samples
[MC] Processed 8200 samples
[MC] Processed 8210 samples
[MC] Processed 8220 samples
[MC] Processed 8230 samples
[MC] Processed 8240 samples
[MC] Processed 8250 samples
[MC] Processed 8260 samples
[MC] Processed 8270 samples
[MC] Processed 8280 samples
[MC] Processed 8290 samples
[MC] Processed 8300 samples
[MC] Processed 8310 samples
[MC] Processed 8320 samples
[MC] Processed 8330 samples
[MC] Processed 8340 samples
[MC] Processed 8350 samples
[MC] Processed 8360 samples
[MC] Processed 8370 samples
[MC] Processed 8380 samples
[MC] Processed 8390 samples
[MC] Processed 8400 samples
[MC] Processed 8410 samples
[MC] Processed 8420 samples
[MC] Processed 8430 samples
[MC] Processed 8440 samples
[MC] Processed 8450 samples
[MC] Processed 8460 samples
[MC] Processed 8470 samples
[MC] Processed 8480 samples
[MC] Processed 8490 samples
[MC] Processed 8500 samples
